Classification,Attachment Count,Attachment Extension,Email From,Email Subject,Email_From_Length,TLD
NotSpam,0.0,,John the classic Doe <john.doe@example.com>,Meeting Tomorrow,43,com
Spam,2.0,"pdf,ics",Xavier Exampler <xavier@example.net>,Claim Your Prize Now!,36,net
NotSpam,1.0,docx,info@company.com,Weekly Newsletter,16,com
Spam,,,"\How to deal with toxic employees\"" <campaign@mail.hrtrainings.com>""",Managing Toxic & Other employees who have attitude issues,68,com
Spam,,,"No reply"" <noreply@lottery.org>""",You've Won $1000000!,32,org
NotSpam,3.0,"png,png,pdf",Jane Smith Santos Rivadeneira <jane.smith@example.com>,Photos from the Event ;),54,com
Spam,1.0,zip,support@pharmacy.biz,"Get Viagra for Less, and obtain more",20,biz
NotSpam,0.0,,info@newsletter.com,Special Offer Inside,19,com
Spam,0.0,,prince@nigeria.com,Help Needed Urgently,18,com
NotSpam,2.0,"pdf,jpg",marketing@company.com,New Product Catalog,21,com
NotSpam,0.0,,contact@website.com,Your Order Confirmation,19,com
Spam,1.0,pdf,deals@shop.com,Exclusive Discount Inside,14,com
NotSpam,0.0,,service@bank.com,Statement of Account,16,com
Spam,0.0,,updates@social.net,See Who Unfollowed You,18,net
NotSpam,,,support@software.com,Product Update Available,20,com
Spam,3.0,"exe, exe, exe",bill@microsoft.com,Activate Windows Now!,18,com
NotSpam,1.0,docx,hr@company.com,Job Application Status,14,com
NotSpam,0.0,,info@newsletter.com,Weekly Update,19,com
NotSpam,2.0,pdf,marketing@company.com,New Product Launch,21,com
NotSpam,,,contact@website.com,Your Inquiry Response,19,com
NotSpam,0.0,,billing@service.com,Payment Confirmation,19,com
NotSpam,1.0,docx,hr@company.com,Job Application Confirmation,14,com
NotSpam,0.0,,newsletter@mail.com,Subscribe to Our Newsletter,19,com
NotSpam,2.0,"pdf,ics",sales@ecommerce.com,Your Order Shipment,19,com
NotSpam,0.0,,info@conference.org,Event Reminder: Next Week,19,org
NotSpam,0.0,,support@software.com,Product Update Available,20,com
Spam,0.0,,cupones@descuentos.com,¡Obtén cupones de descuento instantáneos ahora mismo!,22,com
Spam,0.0,,encuestas@opiniones.com,Gana dinero extra completando nuestras encuestas en línea,23,com
Spam,2.0,"pdf,ics",ofertas@promociones.com,¡Aprovecha nuestras nuevas ofertas de temporada y ahorra mucho más!,23,com
NotSpam,0.0,,info@empresa.com,¡Anuncio importante sobre nuestros nuevos productos!,16,com
NotSpam,1.0,"pdf, ics",clientes@tienda.com,Confirmación de compra y detalle de factura adjunto,19,com
NotSpam,0.0,,soporte@software.com,Actualización importante: Nueva versión disponible,20,com
NotSpam,0.0,,info@boletin.com,¡Suscríbete ahora para recibir nuestras últimas noticias!,16,com
NotSpam,2.0,"ics, ics",ventas@empresa.com,Catálogo de productos actualizado para esta temporada,18,com
NotSpam,0.0,,contacto@sitio.com,Respuesta a tu consulta sobre nuestros servicios,18,com
NotSpam,1.0,docx,rrhh@empresa.com,Confirmación de entrevista y detalles de posición,16,com
NotSpam,0.0,,noticias@sitio.com,¡Únete a nuestra comunidad y mantente informado!,18,com
NotSpam,2.0,pdf,ventas@ecommerce.com,Detalle de tu pedido y fecha de entrega estimada,20,com
NotSpam,1.0,pdf,customerservice@retail.com,Return Authorization,26,com
NotSpam,0.0,,hello@company.com,Welcome to Our Platform,17,com
NotSpam,0.0,,billing@company.com,Payment Receipt,19,com
NotSpam,0.0,,newsletter@updates.com,Subscribe to Our Updates,22,com
NotSpam,0.0,,support@service.com,Product Demo Invitation,19,com
NotSpam,0.0,,newsletter@mail.com,Subscribe to Our Newsletter,19,com
NotSpam,2.0,"pdf, png",marketing@company.com,New Campaign Launch,21,com
NotSpam,0.0,,support@service.com,Help Desk Ticket Confirmation,19,com
NotSpam,0.0,,newsletter@updates.com,Subscribe to Our Updates,22,com
NotSpam,0.0,,billing@company.com,Invoice Attached,19,com
NotSpam,0.0,,newsletter@mail.com,Subscribe to Our Newsletter,19,com
NotSpam,2.0,"pdf, docx",marketing@company.com,Product Launch Announcement,21,com
NotSpam,0.0,,support@service.com,Issue Resolved: Ticket #12345,19,com
NotSpam,0.0,,newsletter@updates.com,Subscribe to Our Updates,22,com
NotSpam,1.0,pdf,sales@ecommerce.com,Your Receipt Attached,19,com
NotSpam,0.0,,hello@company.com,Thank You for Signing Up,17,com
NotSpam,0.0,,billing@company.com,Payment Due Reminder,19,com
NotSpam,0.0,,newsletter@mail.com,Subscribe to Our Newsletter,19,com
NotSpam,2.0,"pdf, pdf",marketing@company.com,New Feature Release,21,com
NotSpam,0.0,,support@service.com,Your Support Request Status,19,com
NotSpam,0.0,,newsletter@updates.com,Subscribe to Our Updates,22,com
NotSpam,1.0,pdf,sales@ecommerce.com,Your Invoice,19,com
NotSpam,0.0,,hello@company.com,Welcome Aboard!,17,com
NotSpam,0.0,,billing@company.com,Invoice Reminder,19,com
NotSpam,0.0,,newsletter@mail.com,Subscribe to Our Newsletter,19,com
NotSpam,2.0,"pdf, ics",marketing@company.com,New Update Available,21,com
NotSpam,0.0,,support@service.com,Issue Resolved: Ticket #54321,19,com
NotSpam,0.0,,newsletter@updates.com,Subscribe to Our Updates,22,com
NotSpam,0.0,,billing@company.com,Payment Confirmed,19,com
NotSpam,0.0,,hello@company.com,Welcome to Our Community,17,com
NotSpam,0.0,,newsletter@mail.com,Subscribe to Our Newsletter,19,com
NotSpam,2.0,pdf,marketing@company.com,Latest News Release,21,com
NotSpam,0.0,,support@service.com,Query Resolution: Ticket #98765,19,com
NotSpam,0.0,,info@conference.org,Event Reminder: Tomorrow,19,org
Spam,1.0,pdf,support@service.com,Important Account Update,19,com
NotSpam,0.0,,info@travelagency.com,Travel Deals Inside,21,com
NotSpam,1.0,pdf,customerservice@retail.com,Return Policy Update,26,com
Spam,0.0,,newsletter@blog.com,New Article Alert,19,com
NotSpam,0.0,,support@website.com,Password Reset Request,19,com
Spam,2.0,"pdf,ics",lottery@winners.com,Claim Your Jackpot Prize,19,com
NotSpam,0.0,,billing@company.com,Payment Receipt,19,com
Spam,0.0,,noreply@survey.com,Win a Free iPhone!,18,com
NotSpam,1.0,pdf,support@software.com,Software Update Available,20,com
Spam,0.0,,urgent@help.com,You've Been Hacked!,15,com
NotSpam,0.0,,newsletter@updates.com,Subscribe to Our Updates,22,com
Spam,3.0,zip,deals@shop.com,Exclusive Offer Inside,14,com
NotSpam,0.0,,noreply@bank.com,Your Transaction Receipt,16,com
Spam,1.0,docx,support@pharmacy.biz,Get Cialis for Less,20,biz
NotSpam,0.0,,hello@company.com,Welcome to Our Platform,17,com
Spam,0.0,,prize@lottery.org,You've Won $10000!,17,org
NotSpam,2.0,"pdf,ics",marketing@company.com,New Campaign Launch,21,com
NotSpam,0.0,,support@service.com,Help Desk Ticket Confirmation,19,com
Spam,0.0,,survey@feedback.net,Win a Gift Card Now!,19,net
NotSpam,1.0,pdf,sales@ecommerce.com,Your Order Confirmation,19,com
Spam,0.0,,scam@alert.com,Verify Your Account Now!,14,com
NotSpam,0.0,,newsletter@mail.com,Subscribe to Our Newsletter,19,com
Spam,1.0,pdf,debt@settlement.net,Get Out of Debt Now!,19,net
NotSpam,0.0,,info@conference.org,Event Agenda: Tomorrow,19,org
Spam,0.0,,noreply@offers.org,You've Won a Cruise Vacation!,18,org
NotSpam,2.0,pdf,billing@company.com,Invoice Attached,19,com
Spam,0.0,,noreply@survey.com,Win a Free Trip to Paris!,18,com
NotSpam,0.0,,support@software.com,Software Update Available,20,com
Spam,3.0,exe,malware@virus.com,You've Been Infected!,17,com
NotSpam,0.0,,newsletter@updates.com,Subscribe to Our Newsletter,22,com
Spam,2.0,zip,deals@shop.com,Exclusive Deal Inside,14,com
NotSpam,0.0,,noreply@bank.com,Your Account Statement,16,com
Spam,1.0,docx,support@pharmacy.biz,Get Viagra Now!,20,biz
